SourceSchema;SourceTableName;SourceColumnName;SourceDataType;SourceColumnPrimaryKey;TransformationLogic;DestinationSchema;DestinationTableName;DestinationColumnName;DestinationDataType;DestinationColumnPrimaryKey
dbo;F4101;IMCARS;float;;DirectMove;SRC_JDEE1;ITEMMASTER;CARRIER;NUMERIC(8,0);
dbo;F4101;IMCARP;float;;DirectMove;SRC_JDEE1;ITEMMASTER;PREFERCARRIERPURCHASIN;NUMERIC(8,0);
dbo;F4101;IMSHCN;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;SHIPPINGCONDITIONSCODE;VARCHAR(3);
dbo;F4101;IMSHCM;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;SHIPPINGCOMMODITYCLASS;VARCHAR(3);
dbo;F4101;IMUOM1;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASUREPRIMARY;VARCHAR(2);
dbo;F4101;IMUOM2;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASURESECONDARY;VARCHAR(2);
dbo;F4101;IMUOM3;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASUREPURCHAS;VARCHAR(2);
dbo;F4101;IMUOM4;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASUREPRICING;VARCHAR(2);
dbo;F4101;IMUOM6;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASURESHIPPING;VARCHAR(2);
dbo;F4101;IMUOM8;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASUREPRODUCTION;VARCHAR(2);
dbo;F4101;IMUOM9;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASUREALLOCATION;VARCHAR(2);
dbo;F4101;IMUWUM;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASUREWEIGHT;VARCHAR(2);
dbo;F4101;IMUVM1;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASUREVOLUME;VARCHAR(2);
dbo;F4101;IMSUTM;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASURESTOCKI;VARCHAR(2);
dbo;F4101;IMUMVW;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASUREVOLUMEORWEI;VARCHAR(1);
dbo;F4101;IMCYCL;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;CYCLECOUNTCATEGORY;VARCHAR(3);
dbo;F4101;IMGLPT;nchar(4);;DirectMove;SRC_JDEE1;ITEMMASTER;GLCATEGORY;VARCHAR(4);
dbo;F4101;IMPLEV;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;PRICELEVEL;VARCHAR(1);
dbo;F4101;IMPPLV;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;LEVELPURCHASINGPRICE;VARCHAR(1);
dbo;F4101;IMCLEV;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;COSTLEVEL;VARCHAR(1);
dbo;F4101;IMPRPO;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;POTENCYPRICING;VARCHAR(1);
dbo;F4101;IMCKAV;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;CHECKAVAILABILITYYN;VARCHAR(1);
dbo;F4101;IMBPFG;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;BULKPACKEDFLAG;VARCHAR(1);
dbo;F4101;IMSRCE;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;LAYERCODESOURCE;VARCHAR(1);
dbo;F4101;IMOT1Y;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;CONSTANTFUTUREUSE1;VARCHAR(1);
dbo;F4101;IMOT2Y;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;CONSTANTFUTUREUSE2;VARCHAR(1);
dbo;F4101;IMSTDP;float;;DirectMove;SRC_JDEE1;ITEMMASTER;STANDARDPOTENCY;NUMERIC(7,0);
dbo;F4101;IMFRMP;float;;DirectMove;SRC_JDEE1;ITEMMASTER;FROMPOTENCY;NUMERIC(7,0);
dbo;F4101;IMTHRP;float;;DirectMove;SRC_JDEE1;ITEMMASTER;THRUPOTENCY;NUMERIC(7,0);
dbo;F4101;IMSTDG;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;STANDARDGRADE;VARCHAR(3);
dbo;F4101;IMFRGD;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;FROMGRADE;VARCHAR(3);
dbo;F4101;IMTHGD;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;THRUGRADE;VARCHAR(3);
dbo;F4101;IMCOTY;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;COMPONENTTYPE;VARCHAR(1);
dbo;F4101;IMSTKT;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;STOCKINGTYPE;VARCHAR(1);
dbo;F4101;IMLNTY;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;LINETYPE;VARCHAR(2);
dbo;F4101;IMCONT;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;CONTRACTITEM;VARCHAR(1);
dbo;F4101;IMBACK;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;BACKORDERSALLOWEDYN;VARCHAR(1);
dbo;F4101;IMIFLA;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;ITEMFLASHMESSAGE;VARCHAR(2);
dbo;F4101;IMTFLA;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;TEMPORARYITEMFLASHMESSAG;VARCHAR(2);
dbo;F4101;IMINMG;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;PRINTMESSAGE1;VARCHAR(10);
dbo;F4101;IMABCS;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;ABCCODE1SALESINV;VARCHAR(1);
dbo;F4101;IMABCM;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;ABCCODE2MARGININV;VARCHAR(1);
dbo;F4101;IMABCI;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;ABCCODE3INVESTINV;VARCHAR(1);
dbo;F4101;IMOVR;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;ABCCODEOVERRIDEINDICA;VARCHAR(1);
dbo;F4101;IMWARR;nchar(8);;DirectMove;SRC_JDEE1;ITEMMASTER;TYPEWARRANTY;VARCHAR(8);
dbo;F4101;IMCMCG;nchar(8);;DirectMove;SRC_JDEE1;ITEMMASTER;COMMISSIONCATEGORY;VARCHAR(8);
dbo;F4101;IMSRNR;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;SERIALNUMBERREQUIRED;VARCHAR(1);
dbo;F4101;IMPMTH;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;METHODOFPRICECALCULA;VARCHAR(1);
dbo;F4101;IMFIFO;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;FIFOPROCESSING;VARCHAR(1);
